Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Muraena helena,0.03197,0.6166,0.95,13.53,0.002,0.7987,0.7741,,,,,,
Hiodon tergisus,0.07969,0.7394,0.95,250.0,0.002,0.8009,,,,,,,
Hiodon alosoides,0.02737,0.7799,0.95,486.9,0.002,0.7998,,,,,,,
Osteoglossum bicirrhosum,0.03717,0.9868,0.95,21.0,0.002,0.8046,,,,,,,
Chitala chitala,0.02617,0.5513,0.95,25.37,0.002,0.8003,0.4121,,,,,,
Notopterus notopterus,0.0192,0.9942,0.95,18.49,0.002,0.8046,,,,,,,
Papyrocranus afer,0.02358,0.9943,0.95,14.93,0.002,0.7992,0.7015,,,,,,
Arapaima gigas,0.03239,0.9905,0.95,28.99,0.002,0.8011,,,,,,,
Heterotis niloticus,0.01869,0.9857,0.95,19.27,0.002,0.7995,0.5432,,,,,,
Marcusenius pongolensis,0.02148,0.87,0.95,23.81,0.002,0.8012,0.4386,,,,,,
Mormyrus kannume,0.01725,0.8712,0.95,6.5,0.002,0.8001,1.609,,,,,,
Gymnarchus niloticus,0.04186,0.9973,0.95,215.5,0.002,0.7994,0.04859,,,,,,
Coilia borneensis,0.02091,0.9857,0.95,28.75,0.002,0.8019,0.363,,,,,,
Coilia brachygnathus,0.02102,0.8917,0.95,43.33,0.002,0.8026,0.2406,,,,,,
Coilia dussumieri,0.02444,0.9194,0.95,36.06,0.002,0.802,0.2894,,,,,,
Coilia mystus,0.01553,0.874,0.95,19.02,0.002,0.8029,0.5479,,,,,,
Coilia nasus,0.0207,0.8723,0.95,64.72,0.002,0.8033,0.161,,,,,,
Coilia ramcarati,0.0177,0.8951,0.95,11.37,0.002,0.7986,0.9214,,,,,,
Setipinna phasa,0.01596,0.9175,0.95,8.653,0.000493,0.8004,0.2979,,,,,,
Setipinna taty,0.02065,0.9883,0.95,20.17,0.002,0.8004,0.5185,,,,,,
Thryssa aestuaria,0.02287,0.9792,0.95,131.7,0.002,0.8016,0.07928,,,,,,
Thryssa hamiltonii,0.01439,0.9851,0.95,260.5,0.002,0.7988,0.04022,,,,,,
Thryssa mystax,0.01023,0.9561,0.95,193.2,0.002,0.8028,0.05395,,,,,,
Thryssa setirostris,0.01317,0.9864,0.95,588.5,0.002,0.8022,0.01773,,,,,,
Anchoa hepsetus,0.04054,0.9249,0.95,136.6,0.002,0.7992,0.07665,,,,,,
Anchoa mitchilli,0.04141,0.4464,0.95,28.25,0.002,0.8034,,,,,,,
Anchoa nasus,0.02174,0.8923,0.95,4.117,0.0002377,0.7978,0.3028,,,,,,
Anchoa panamensis,0.02234,0.9731,0.95,34.51,0.002289,0.7966,0.3484,,,,,,
Anchoa tricolor,0.03101,0.9785,0.95,38.29,0.002,0.8018,0.2726,,,,,,
Anchoviella guianensis,0.04269,0.9891,0.95,533.4,0.002,0.8,0.01961,,,,,,
Cetengraulis edentulus,0.01785,0.9762,0.95,34.23,0.002,0.8029,0.3045,,,,,,
Cetengraulis mysticetus,0.02086,0.9622,0.95,245.7,0.002,0.7997,0.04259,,,,,,
Encrasicholina devisi,0.02871,0.9598,0.95,120.1,0.002,0.8012,0.08696,,,,,,
Encrasicholina heteroloba,0.01156,0.9971,0.95,2321.0,0.002,0.7994,0.004511,,,,,,
Encrasicholina punctifer,0.02592,0.9851,0.95,84.8,0.002,0.8014,0.1231,,,,,,
Encrasicholina purpurea,0.02133,0.9977,0.95,888.4,0.002,0.7981,0.0118,,,,,,
Engraulis anchoita,0.09181,0.98,0.95,87.21,0.002,0.8011,,,,,,,
Engraulis australis,0.03381,0.6993,0.95,461.1,0.002,0.8025,0.02262,,,,,,
Engraulis capensis,0.03381,0.5435,0.95,640.1,0.002,0.7999,0.01634,,,,,,
Engraulis encrasicolus,0.01944,0.9901,0.95,54.67,0.002,0.8241,,,,,,,
Engraulis japonicus,0.08581,0.9799,0.95,127.8,0.002,0.8014,,,,,,,
Engraulis mordax,0.03381,0.3526,0.95,999.5,0.002,0.8008,0.01046,,,,,,
Engraulis ringens,0.03352,0.9554,0.95,354.8,0.002,0.7989,0.02952,,,,,,
Lycengraulis grossidens,0.0154,0.9807,0.95,21.7,0.002,0.8008,0.4816,,,,,,
Stolephorus carpentariae,0.01962,0.994,0.95,550.3,0.002,0.8011,0.01898,,,,,,
Stolephorus commersonnii,0.01438,0.985,0.95,402.6,0.002,0.8018,0.02592,,,,,,
Stolephorus indicus,0.02592,0.9335,0.95,655.9,0.002,0.7997,0.01595,,,,,,
Stolephorus insularis,0.03346,0.9961,0.95,95.75,0.002,0.7994,0.1093,,,,,,
Stolephorus nelsoni,0.02627,0.986,0.95,115.9,0.002,0.802,0.09003,,,,,,
Stolephorus waitei,0.02592,0.9888,0.95,48.81,0.002,0.8033,0.2134,,,,,,
Jenkinsia lamprotaenia,0.03276,0.9984,0.95,215.1,0.002,0.7996,0.04865,,,,,,
Spratelloides delicatulus,0.02229,0.9975,0.95,183.4,0.002,0.8009,,,,,,,
Spratelloides gracilis,0.025,0.9902,0.95,149.0,0.002,0.8013,,,,,,,
Spratelloides lewisi,0.02394,0.996,0.95,152.2,0.002,0.8003,,,,,,,
Ilisha africana,0.02399,0.8193,0.95,250.5,0.002,0.7998,0.04178,,,,,,
Ilisha elongata,0.03121,0.6729,0.95,6.791,0.0003977,0.7985,0.3069,,,,,,
Ilisha filigera,0.006183,0.6512,0.95,784.2,0.002,0.802,0.01331,,,,,,
Ilisha kampeni,0.01989,0.9882,0.95,27.96,0.002,0.8018,0.3733,,,,,,
Ilisha megaloptera,0.02378,0.9092,0.95,20.8,0.002,0.8002,0.5028,,,,,,
Ilisha melastoma,0.02065,0.8832,0.95,18.94,0.002,0.8003,0.5521,,,,,,
Ilisha pristigastroides,0.01741,0.769,0.95,161.7,0.002,0.8008,0.06461,,,,,,
Opisthopterus tardoore,0.01391,0.9687,0.95,23.9,0.002,0.8,0.4377,,,,,,
Pellona ditchela,0.01996,0.836,0.95,18.49,0.002,0.8002,0.5656,,,,,,
Raconda russeliana,0.01851,0.9439,0.95,11.56,0.002,0.7978,0.9076,,,,,,
Chirocentrus dorab,0.02753,0.9742,0.95,31.91,0.001697,0.802,0.2774,,,,,,
Chirocentrus nudus,0.02798,0.9742,0.95,39.26,0.002134,0.8005,0.2841,,,,,,
Dussumieria acuta,0.01695,0.994,0.95,867.2,0.002,0.7984,0.01209,,,,,,
Dussumieria hasseltii,0.023,0.9562,0.95,23.03,0.002,0.8004,0.454,,,,,,
Etrumeus micropus,0.04444,0.9728,0.95,51.12,0.002,0.8019,0.2041,,,,,,
Etrumeus golanii,0.02075,0.7133,0.95,20.98,0.002,0.8009,0.4981,,,,,,
Etrumeus whiteheadi,0.02065,0.6982,0.95,19.94,0.002,0.8021,0.5233,,,,,,
Clupea harengus,0.0867,0.7365,0.95,34.41,0.002,0.8019,,,,,,,
Clupea bentincki,0.05269,0.9686,0.95,132.7,0.002,0.8013,,,,,,,
Clupea pallasii,0.04299,0.7836,0.95,1225.0,0.002,0.8027,,,,,,,
Gudusia chapra,0.02764,0.4243,0.95,21.57,0.002,0.7995,0.4852,,,,,,
Hyperlophus vittatus,0.03373,0.9873,0.95,725.8,0.002,0.8004,0.0144,,,,,,
Potamalosa richmondia,0.01867,0.9121,0.95,15.38,0.002,0.7994,0.6808,,,,,,
Ramnogaster arcuata,0.03381,0.9712,0.95,196.7,0.002,0.8007,0.05312,,,,,,
Sprattus fuegensis,0.02416,0.8965,0.95,445.0,0.002,0.8,0.02351,,,,,,
Sprattus sprattus,0.01587,0.6326,0.95,1827.0,0.002,0.7997,0.005726,,,,,,
Strangomera bentincki,0.03352,0.9795,0.95,184.1,0.002,0.7956,0.05712,,,,,,
Clupeichthys aesarnensis,0.0276,0.9745,0.95,138.3,0.002,0.8007,0.07557,,,,,,
Clupeonella caspia,0.03717,0.836,0.95,15.05,0.002,0.799,0.6958,,,,,,
Clupeonella cultriventris,0.0218,0.6199,0.95,236.2,0.002,0.8006,0.04426,,,,,,
Clupeonella grimmi,0.04713,0.8439,0.95,13.3,0.002,0.8037,0.7828,,,,,,
Sauvagella robusta,0.03381,0.8566,0.95,18.86,0.002,0.8007,0.5543,,,,,,
Alosa aestivalis,0.01991,0.4994,0.95,48.65,0.002,0.8027,0.2143,,,,,,
Alosa alabamae,0.0173,0.9686,0.95,92.27,0.002,0.8022,0.1131,,,,,,
Alosa alosa,0.01648,0.3702,0.95,1011.0,0.002,0.8003,0.01035,,,,,,
Alosa chrysochloris,0.02517,0.873,0.95,23.6,0.002,0.8021,,,,,,,
Alosa fallax,0.02109,0.3695,0.95,176.1,0.002,0.801,0.05933,,,,,,
Alosa immaculata,0.02358,0.4426,0.95,330.4,0.002,0.8006,0.03164,,,,,,
Alosa mediocris,0.01856,0.9827,0.95,658.2,0.002,0.8011,,,,,,,
Alosa sapidissima,0.03018,0.6287,0.95,331.5,0.002,0.8025,,,1.034,,,,
Alosa saposchnikowii,0.01545,0.5,0.95,109.2,0.002,0.8015,,,,,,,
Alosa pseudoharengus,0.02482,0.5134,0.95,44.75,0.002,0.8016,0.2333,,,,,,
Brevoortia patronus,0.04317,0.9124,0.95,18.63,0.002,0.799,0.5622,,,,,,
Brevoortia tyrannus,0.028,0.7657,0.95,39.36,0.002,0.8014,0.2653,,,,,,
Sardina pilchardus,0.01718,0.945,0.95,396.2,0.002,0.805,,,,,,,
Sardinops sagax,0.01767,0.8078,0.95,743.2,0.002,0.8018,,,,,,,
Limnothrissa miodon,0.02118,0.9764,0.95,25.3,0.002,0.8016,,,,,,,
Stolothrissa tanganicae,0.02124,0.9513,0.95,53.06,0.002,0.8012,,,,,,,
Anodontostoma chacunda,0.02761,0.2837,0.95,46.83,0.002,0.8015,0.223,,,,,,
Nematalosa vlaminghi,0.01971,0.8543,0.95,10.1,0.002,0.8014,1.034,,,,,,
Tenualosa ilisha,0.01716,0.8899,0.95,17.07,0.002,0.7996,,,,,,,
Tenualosa reevesii,0.02535,0.6475,0.95,31.4,0.002,0.8022,0.3322,,,,,,
Tenualosa toli,0.01992,0.9625,0.95,18.95,0.002,0.8002,0.5518,,,,,,
Amblygaster sirm,0.02379,0.9506,0.95,328.9,0.002,0.7998,,,,,,,
Clupanodon thrissa,0.02312,0.9522,0.95,25.21,0.002,0.7995,0.4152,,,,,,
Dorosoma cepedianum,0.0336,0.967,0.95,58.38,0.002,0.8051,0.1781,,,,,,
Dorosoma petenense,0.02069,0.8565,0.95,17.25,0.002,0.7996,,,,,,,
Escualosa thoracata,0.01829,0.9833,0.95,566.0,0.002,0.8005,0.01847,,,,,,
Ethmalosa fimbriata,0.02056,0.4496,0.95,21.88,0.002,0.8011,,,,,,,
Herklotsichthys quadrimaculatus,0.02563,0.9968,0.95,66.38,0.002,0.8114,,,,,,,
Hilsa kelee,0.02222,0.9,0.95,32.52,0.002,0.8024,,,,,,,
Konosirus punctatus,0.02221,0.7158,0.95,55.22,0.002,0.8017,0.189,,,,,,
Opisthonema oglinum,0.006521,0.9,0.95,45.27,0.002,0.8,,,,,,,
Opisthonema libertate,0.02328,0.9704,0.95,35.85,0.002,0.8018,,,,,,,
Sardinella aurita,0.02895,0.9514,0.95,93.78,0.002,0.8031,,,,,,,
Sardinella albella,0.02127,0.77,0.95,2090.0,0.002,0.8002,,,,,,,
Sardinella brasiliensis,0.1342,0.95,0.95,12.13,0.0006924,0.7988,0.2989,,,,,,
Sardinella fimbriata,0.02113,0.875,0.95,40.73,0.002,0.8033,0.2558,,,,,,
Sardinella gibbosa,0.03878,0.9749,0.95,181.0,0.002,0.8008,,,,,,,
Sardinella lemuru,0.02208,0.97,0.95,18.37,0.002,0.8,0.5695,,,,,,
Sardinella longiceps,0.0203,0.9727,0.95,2406.0,0.002,0.8,,,,,,,
Sardinella maderensis,0.02072,0.9407,0.95,78.22,0.002,0.8028,0.1333,,,,,,
Sardinella melanura,0.0215,0.9662,0.95,18.91,0.002,0.8002,0.5529,,,,,,
Sardinella sindensis,0.02602,0.9701,0.95,15.8,0.002,0.8002,0.6619,,,,,,
Harengula humeralis,0.02576,0.326,0.95,31.83,0.002,0.802,0.3278,,,,,,
Harengula jaguana,0.02422,0.5926,0.95,57.65,0.002,0.7973,0.1821,,,,,,
Lile stolifera,0.02691,0.8605,0.95,29.21,0.002,0.8042,0.3563,,,,,,
Alepocephalus bairdii,0.02074,0.6705,0.95,18.64,0.002,0.8001,0.5612,,,,,,
Alepocephalus rostratus,0.02069,0.8724,0.95,18.79,0.002,0.8002,0.5567,,,,,,
Bajacalifornia burragei,0.02019,0.95,0.95,9905.0,0.002,0.7996,,,,,,,
Chanos chanos,0.04969,0.7455,0.95,39.23,0.002,0.8046,,,,,,,
Cirrhinus cirrhosus,0.01982,0.9074,0.95,16.88,0.002,0.8024,,,,,,,
Cirrhinus mrigala,0.001954,0.8331,0.95,16.59,0.002,0.7998,0.6306,,,,,,
Labeo bata,0.01704,0.513,0.95,27.52,0.002,0.8018,0.3793,,,,,,
Labeo calbasu,0.01666,0.7184,0.95,15.45,0.002,0.7997,0.6774,,,,,,
Labeo catla,0.003937,0.9283,0.95,23.17,0.002,0.795,0.4544,,,,,,
Labeo niloticus,0.03037,0.9853,0.95,13.64,0.002,0.7933,0.7731,,,,,,
Labeo rohita,0.02992,0.9888,0.95,74.89,0.002,0.8014,0.1394,,,,,,
Tor putitora,0.03673,0.9759,0.95,18.77,0.002,0.7998,0.5574,,,,,,
Enteromius liberiensis,0.02765,0.9887,0.95,29.64,0.002,0.8015,,,,,,,
Cyprinus carpio,0.01498,0.3392,0.95,364.5,0.002,0.8015,,,,,,,
Carassius auratus,0.1124,0.9576,0.95,17.37,0.002,0.8,,,,,,,
Carassius carassius,0.02314,0.9769,0.95,52.48,0.002,0.7957,,,,,,,
Carassius gibelio,0.00798,0.4755,0.95,58.87,0.002,0.8032,,,,,,,
Barbus barbus,0.01291,0.9173,0.95,26.01,0.002,0.8044,0.3999,,,,,,
Capoeta capoeta,0.02402,0.8991,0.95,73.31,0.002,0.8018,,,,,,,
Capoeta gracilis,0.01694,0.5553,0.95,46.39,0.002,0.8023,,,,,,,
Luciobarbus sclateri,0.01654,0.5556,0.95,10.61,0.002,0.7982,0.9878,,,,,,
Oxygymnocypris stewartii,0.008065,0.528,0.95,1557.0,0.002,0.8001,0.006718,,,,,,
Schizothorax dulongensis,0.02239,0.9249,0.95,15.44,0.002,0.7998,0.6775,,,,,,
Schizothorax oconnori,0.007387,0.8639,0.95,315.9,0.002,0.8029,0.03299,,,,,,
Schizothorax richardsonii,0.0153,0.8476,0.95,458.2,0.002,0.8005,0.02282,,,,,,
Schizothorax waltoni,0.008155,0.6528,0.95,690.6,0.002,0.8002,0.01514,,,,,,
Ptychobarbus dipogon,0.01668,0.6778,0.95,75.88,0.002,0.8016,0.1376,,,,,,
Schizopygopsis selincuoensis,0.02102,0.9579,0.95,22.14,0.002,0.8005,0.4722,,,,,,
Schizopygopsis younghusbandi,0.02102,0.9699,0.95,56.07,0.002,0.7982,0.187,,,,,,
Hemiculter leucisculus,0.02291,0.8449,0.95,28.72,0.002,0.8027,0.363,,,,,,
Danio rerio,0.0196,0.3576,0.95,243.0,0.002,0.7943,0.04335,,,,,,
Engraulicypris sardella,0.02191,0.9982,0.95,58.82,0.002,0.7985,0.1782,,,,,,
Opsaridium microcephalum,0.04658,0.921,0.95,23.45,0.002,0.8014,0.4453,,,,,,
Hypophthalmichthys molitrix,0.01772,0.8618,0.95,840.5,0.02,0.8,,,,,,,
Hypophthalmichthys nobilis,0.01462,0.9046,0.95,12.15,0.0007301,0.7972,0.3154,,,,,,
Ctenopharyngodon idella,0.02158,0.9813,0.95,199.8,0.002,0.8007,,,,,,,
Tinca tinca,0.01196,0.5689,0.95,11.14,0.0006819,0.7988,0.3206,,,,,,
Rhodeus amarus,0.02975,0.9036,0.95,37.75,0.002,0.8017,,,,,,,
Abbottina rivularis,0.02022,0.9706,0.95,23.84,0.002,0.8022,0.4376,,,,,,
Gobio gobio,0.0109,0.9684,0.95,51.9,0.002,0.8044,,,,,,,
Romanogobio albipinnatus,0.05661,0.99,0.95,319.7,0.002,0.8,,,,,,,
Phoxinus phoxinus,0.1234,0.9353,0.95,110.6,0.002,0.7863,,,,,,,
Chrosomus erythrogaster,0.02346,0.943,0.95,37.8,0.002,0.8025,,,,,,,
Chrosomus neogaeus,0.04055,0.9077,0.95,69.46,0.002,0.8014,,,,,,,
Chrosomus oreas,0.023,0.9239,0.95,36.67,0.002,0.802,,,,,,,
Chrosomus saylori,0.02071,0.9454,0.95,40.81,0.002,0.8018,,,,,,,
Chrosomus tennesseensis,0.02118,0.6375,0.95,28.28,0.002,0.8016,,,,,,,
Gila atraria,0.01955,0.4894,0.95,15.01,0.002,0.8002,,,,,,,
Gila coerulea,0.2268,0.3725,0.95,17.19,0.002,0.8061,0.6037,,,,,,
Gila cypha,0.02071,0.9758,0.95,106.0,0.002,0.8046,,,,,,,
Gila elegans,0.02071,0.9615,0.95,265.6,0.002,0.7973,,,,,,,
Gila intermedia,0.02071,0.9848,0.95,108.8,0.002,0.7961,,,,,,,
Gila pandora,0.02035,0.8911,0.95,19.74,0.002,0.8002,,,,,,,
Gila robusta,0.02071,0.7669,0.95,23.93,0.002,0.802,,,,,,,
Ptychocheilus lucius,0.01398,0.5824,0.95,13.27,0.002,0.7971,,,,,,,
Ptychocheilus grandis,0.02146,0.883,0.95,18.35,0.002,0.7994,,,,,,,
Ptychocheilus oregonensis,0.1205,0.7827,0.95,18.05,0.002,0.7991,,,,,,,
Siphateles bicolor,0.03846,0.4798,0.95,11.53,0.0006918,0.8054,0.3118,,,,,,
Acrocheilus alutaceus,0.08211,0.9656,0.95,15.97,0.002,0.8051,,,,,,,
Lavinia exilicauda,0.02016,0.8283,0.95,73.23,0.002,0.8009,0.1427,,,,,,
Alburnus alburnus,0.02009,0.9757,0.95,48.62,0.002,0.8003,,,,,,,
Alburnus baliki,0.06937,0.478,0.95,14.73,0.002,0.7988,0.711,,,,,,
Alburnoides bipunctatus,0.05974,0.6918,0.95,33.38,0.002,0.8079,,,,,,,
Alburnoides eichwaldii Kaboudval,0.01211,0.6983,0.95,4724.0,0.002,0.801,,,,,,,
Alburnoides eichwaldii ShirAbad,0.01539,0.7259,0.95,2095.0,0.002,0.7988,,,,,,,
Alburnoides eichwaldii Tajan,0.02711,0.9091,0.95,219.6,0.002,0.8007,,,,,,,
Alburnoides eichwaldii ZarrinGol,0.09986,0.9786,0.95,34.25,0.002,0.8041,,,,,,,
Notemigonus crysoleucas,0.0249,0.9574,0.95,21.57,0.002,0.8012,,,,,,,
Abramis brama,0.01642,0.6637,0.95,23.35,0.001245,0.8002,0.2789,,,,,,
Mirogrex terraesanctae,0.02011,0.95,0.95,19.39,0.002,0.8003,0.5393,,,,,,
Vimba vimba,0.01214,0.7873,0.95,17.2,0.002,0.7961,0.611,,,,,,
Chondrostoma nasus,0.09264,0.9948,0.95,17.89,0.002,0.7997,,,,,,,
Iberochondrostoma lemmingii,0.02,0.7778,0.95,18.03,0.002,0.7999,,,,,,,
Pseudochondrostoma polylepis,0.01779,0.7713,0.95,23.17,0.002,0.8005,0.4511,,,,,,
Rutilus rutilus,0.02073,0.9356,0.95,14.04,0.002,0.7955,,,,,,,
Scardinius erythrophthalmus,0.02001,0.8018,0.95,19.23,0.002,0.7999,0.5441,,,,,,
Squalius cephalus,0.01581,0.9103,0.95,37.04,0.002,0.7997,0.2825,,,,,,
Squalius cii,0.01987,0.9615,0.95,14.97,0.002,0.7997,,,,,,,
Squalius pyrenaicus,0.01954,0.7997,0.95,7.234,0.0004151,0.7978,0.3009,,,,,,
Hemitremia flammea,0.05401,0.6055,0.95,80.83,0.002,0.8023,,,,,,,
Meda fulgida,0.02254,0.8694,0.95,183.9,0.002,0.8003,,,,,,,
Lepidomeda albivallis,0.02361,0.6071,0.95,39.44,0.002,0.8018,,,,,,,
Lepidomeda aliciae,0.02288,0.526,0.95,28.48,0.002,0.8015,,,,,,,
Lepidomeda copei,0.02233,0.8849,0.95,63.27,0.002,0.8019,,,,,,,
Semotilus atromaculatus,0.01591,0.9608,0.95,15.07,0.002,0.7997,0.6942,,,,,,
Semotilus corporalis,0.01873,0.8435,0.95,16.84,0.002,0.8005,0.6207,,,,,,
Margariscus margarita,0.02366,0.9066,0.95,123.6,0.002,0.8045,0.08417,,,,,,
Rhynchocypris oxycephalus,0.02119,0.9251,0.95,107.2,0.002,0.8016,0.09739,,,,,,
Iotichthys phlegethontis,0.02136,0.5171,0.95,36.99,0.002,0.8017,,,,,,,
Mylocheilus caurinus,0.02495,0.7781,0.95,18.81,0.002,0.8025,,,,,,,
Pogonichthys macrolepidotus,0.04645,0.7175,0.95,51.3,0.002,0.8037,,,,,,,
Richardsonius egregius,0.02074,0.9003,0.95,23.52,0.002,0.8014,0.4439,,,,,,
Exoglossum maxillingua,0.01797,0.8909,0.95,30.36,0.002,0.8054,,,,,,,
Oregonichthys crameri,0.09283,0.8562,0.95,27.77,0.002,0.8071,,,,,,,
Rhinichthys atratulus,0.02113,0.6263,0.95,113.5,0.002,0.7982,0.0924,,,,,,
Rhinichthys cataractae,0.02083,0.7189,0.95,23.32,0.002,0.8011,0.448,,,,,,
Campostoma anomalum,0.02138,0.9372,0.95,22.46,0.002,0.8013,,,,,,,
Agosia chrysogaster,0.02138,0.9852,0.95,248.9,0.002,0.7985,,,,,,,
Blicca bjoerkna,0.08184,0.9752,0.95,8.07,0.0004751,0.7988,0.3084,,,,,,
Cyprinella analostana,0.04016,0.983,0.95,74.77,0.002,0.8026,,,,,,,
Cyprinella lutrensis,0.02138,0.9744,0.95,22.46,0.002,0.8011,,,,,,,
Cyprinella trichroistia,0.02138,0.9746,0.95,22.46,0.002,0.8047,,,,,,,
Cyprinella venusta,0.02138,0.9919,0.95,22.46,0.002,0.8008,,,,,,,
Dionda argentosa,0.02071,0.9374,0.95,31.02,0.002,0.8019,,,,,,,
Dionda diaboli,0.02071,0.9584,0.95,45.31,0.002,0.7992,,,,,,,
Hybognathus amarus,0.02017,0.7981,0.95,21.01,0.002,0.8005,,,,,,,
Hybognathus nuchalis,0.02088,0.9656,0.95,24.19,0.002,0.7993,,,,,,,
Hybognathus placitus,0.02268,0.9634,0.95,459.5,0.002,0.7992,,,,,,,
Hybopsis amnis,0.0197,0.9307,0.95,16.17,0.002,0.7999,,,,,,,
Luxilus chrysocephalus,0.0283,0.9223,0.95,45.92,0.002,0.8023,0.2271,,,,,,
Luxilus cornutus,0.01795,0.9125,0.95,36.74,0.002,0.8025,,,,,,,
Luxilus pilsbryi,0.02627,0.9065,0.95,95.68,0.002,0.8013,0.1092,,,,,,
Lythrurus roseipinnis,0.02181,0.9851,0.95,172.0,0.002,0.8005,,,,,,,
Lythrurus umbratilis,0.02036,0.9573,0.95,19.0,0.002,0.7979,,,,,,,
Macrhybopsis gelida,0.02019,0.9907,0.95,2226.0,0.002,0.8,0.004699,,,,,,
Macrhybopsis hyostoma,0.0238,0.9937,0.95,968.9,0.002,0.8003,,,,,,,
Macrhybopsis meeki,0.02285,0.9987,0.95,413.7,0.002,0.8001,,,,,,,
Macrhybopsis storeriana,0.02192,0.9882,0.95,23.7,0.002,0.8008,,,,,,,
Moapa coriacea,0.02001,0.9866,0.95,19.43,0.002,0.8004,,,,,,,
Notropis amabilis,0.02091,0.9721,0.95,43.03,0.002,0.8019,,,,,,,
Notropis atherinoides,0.02297,0.9727,0.95,36.79,0.002,0.8021,0.2835,,,,,,
Notropis atrocaudalis,0.02105,0.9858,0.95,50.56,0.002,0.803,,,,,,,
Notropis bifrenatus,0.017,0.9805,0.95,1375.0,0.002,0.8009,,,,,,,
Notropis blennius,0.02009,0.9124,0.95,17.1,0.002,0.7998,,,,,,,
Notropis boops,0.02507,0.9805,0.95,582.0,0.002,0.8005,,,,,,,
Notropis buccula,0.02477,0.4604,0.95,22.76,0.002,0.8044,,,,,,,
Notropis buccatus,0.02859,0.9589,0.95,34.77,0.002,0.8095,,,,,,,
Notropis buchanani,0.02054,0.9782,0.95,26.03,0.002,0.8024,,,,,,,
Notropis chalybaeus,0.01565,0.9363,0.95,537.1,0.002,0.7998,,,,,,,
Notropis chrosomus,0.02301,0.9733,0.95,66.56,0.002,0.8046,,,,,,,
Notropis girardi,0.02955,0.9503,0.95,220.2,0.002,0.8101,,,,,,,
Notropis heterolepis,0.01949,0.9918,0.95,489.8,0.002,0.8003,,,,,,,
Notropis hudsonius,0.02157,0.9107,0.95,19.58,0.002,0.8009,,,,,,,
Notropis jemezanus,0.02094,0.9471,0.95,35.78,0.002,0.8003,,,,,,,
Notropis longirostris,0.01961,0.9952,0.95,513.0,0.002,0.801,,,,,,,
Notropis maculatus,0.02163,0.9962,0.95,796.2,0.002,0.8004,,,,,,,
Notropis oxyrhynchus,0.02936,0.8555,0.95,28.16,0.002,0.808,,,,,,,
Notropis petersoni,0.02262,0.8424,0.95,37.06,0.002,0.8051,,,,,,,
Notropis potteri,0.02149,0.9826,0.95,28.06,0.002,0.7982,,,,,,,
Notropis rafinesquei,0.02043,0.7858,0.95,32.98,0.002,0.8016,,,,,,,
Notropis rubellus,0.02371,0.9797,0.95,162.7,0.002,0.8007,0.06423,,,,,,
Notropis sabinae,0.02064,0.9841,0.95,63.11,0.002,0.8037,,,,,,,
Notropis spectrunculus,0.02352,0.99,0.95,69.64,0.002,0.8004,,,,,,,
Notropis stramineus,0.02227,0.9629,0.95,45.23,0.002,0.8019,,,,,,,
Notropis texanus,0.02073,0.965,0.95,24.75,0.002,0.8012,,,,,,,
Notropis topeka,0.02533,0.9663,0.95,295.0,0.002,0.8002,0.03545,,,,,,
Notropis volucellus,0.02286,0.9732,0.95,101.1,0.002,0.8003,,,,,,,
Notropis xaenocephalus,0.03444,0.9285,0.95,80.57,0.002,0.8054,,,,,,,
Opsopoeodus emiliae,0.02148,0.8888,0.95,78.55,0.002,0.8031,,,,,,,
Phenacobius mirabilis,0.02106,0.9891,0.95,132.3,0.002,0.8009,,,,,,,
Pimephales notatus,0.02472,0.4176,0.95,20.82,0.002,0.8026,,,,,,,
Pimephales promelas,0.04251,0.9325,0.95,334.8,0.002,0.7092,,,,,,,
Pimephales vigilax,0.03148,0.899,0.95,49.22,0.002,0.802,,,,,,,
Platygobio gracilis,0.01973,0.7143,0.95,20.59,0.002,0.7998,0.5082,,,,,,
Pteronotropis welaka,0.01943,0.9532,0.95,315.4,0.002,0.7994,,,,,,,
Catostomus catostomus,0.008251,0.7809,0.95,966.0,0.002,0.804,,,,,,,
Catostomus columbianus,0.02233,0.7056,0.95,27.86,0.002,0.8027,,,,,,,
Catostomus commersonii,0.008121,0.8331,0.95,1728.0,0.002,0.7988,,,,,,,
Catostomus latipinnis,0.02337,0.4334,0.95,20.76,0.002,0.8029,,,,,,,
Catostomus macrocheilus,0.01985,0.5977,0.95,17.17,0.002,0.7996,,,,,,,
Catostomus microps,0.02214,0.5326,0.95,25.88,0.002,0.8013,,,,,,,
Catostomus platyrhynchus,0.01874,0.5758,0.95,16.07,0.002,0.7972,,,,,,,
Catostomus rimiculus,0.02148,0.5,0.95,19.73,0.002,0.8008,,,,,,,
Catostomus santaanae,0.04004,0.45,0.95,62.08,0.002,0.8,,,,,,,
Catostomus tahoensis,0.02161,0.6747,0.95,7.277,0.0004168,0.7984,0.3002,,,,,,
Catostomus warnerensis,0.0172,0.364,0.95,25.49,0.002,0.8005,,,,,,,
Chasmistes brevirostris,0.01859,0.86,0.95,700.0,0.002,0.8017,,,,,,,
Chasmistes cujus,0.0583,0.8033,0.95,21.99,0.002,0.8006,0.4754,,,,,,
Chasmistes liorus,0.0271,0.888,0.95,740.6,0.002,0.7998,,,,,,,
